YearsExperience,Salary,Predicted Values,residuals,Quantiles,,,,,,,,,,,,,,,,
1.1,39343,36187.15875,3155.841248,11448.02587,Dependent Variable,Salary,,,,,,,,,,"1. From Salary_Data
   a. Identify dependent and independent variable.
   b. Draw scatter plot and comment on it.
   c. Calculate correlation coefficient and test its significance
   d. Fit linear regression model and describe the output.
   e. Diagnose the model developed.",,,,
1.3,46205,38077.15122,8127.848783,11448.02587,Independent Variable,YearExperience,,,,,,,,,,,,,,
1.5,37731,39967.14368,-2236.143681,11448.02587,Co relation coefficient,0.978241618,,,,,,,,,,,,,,
2,43525,44692.12484,-1167.124842,11448.02587,y=c+bx,,,,,,,,,,,,,,,
2.2,39891,46582.11731,-6691.117306,11448.02587,b=,9449.962321,,,,,,,,,,,,,,
2.9,56642,53197.09093,3444.909069,11448.02587,c=,25792.2002,,,,,,,,,,,,,,
3,60150,54142.08716,6007.912837,11448.02587,,,,,,,,,,,,,,,,
3.2,54445,56032.07963,-1587.079627,11448.02587,,,,,,,,,,,,,,,,
3.2,64445,56032.07963,8412.920373,11448.02587,,,,,,,,,,,,,,,,
3.7,57189,60757.06079,-3568.060788,11448.02587,,,,,,,,,,,,,,,,
3.9,63218,62647.05325,570.9467477,11448.02587,,,,,,,,,,,,,,,,
4,55794,63592.04948,-7798.049484,11448.02587,,,,,,,,,,,,,,,,
4,56957,63592.04948,-6635.049484,11448.02587,,,,,,,,,,,,,,,,
4.1,57081,64537.04572,-7456.045717,11448.02587,,,,,,,,,,,,,,,,
4.5,61111,68317.03065,-7206.030645,11448.02587,,,,,,,,,,,,,,,,
4.9,67938,72097.01557,-4159.015574,11448.02587,,,,Looking at the scatter plot we can surely say that Salary is +vely dependent on Years of experience,,,,,,,,,,,,
5.1,66029,73987.00804,-7958.008038,11448.02587,,,,,,,,,,,,,,,,
5.3,83088,75877.0005,7210.999498,11448.02587,,,,,,,,,,,,,,,,
5.9,81363,81546.9779,-183.9778953,11448.02587,,,,,,,,,,,,,,,,
6,93940,82491.97413,11448.02587,11448.02587,,,,,,,,,,,,,,,,
6.8,91738,90051.94398,1686.056015,10530.10877,,,,,,,,,,,,,,,,
7.1,98273,92886.93268,5386.067319,10530.10877,,,,,,,,,,,,,,,,
7.9,101302,100446.9025,855.0974618,10530.10877,,,,,,,,,,,,,,,,
8.2,113812,103281.8912,10530.10877,10530.10877,,,,,,,,,,,,,,,,
8.7,109431,108006.8724,1424.127605,1424.127605,,,,,,,,,,,,,,,,
9,105582,110841.8611,-5259.861092,1402.157748,,,,,,,,,,,,,,,,
9.5,116969,115566.8423,1402.157748,1402.157748,,,,,,,,,,,,,,,,
9.6,112635,116511.8385,-3876.838485,-735.8121097,,,,,,,,,,,,,,,,
10.3,122391,123126.8121,-735.8121097,-735.8121097,,,,,,,,,,,,,,,,
10.5,121872,125016.8046,-3144.804574,-3144.804574,,,,,,,,,,,,,,,,
